City_ID,City,Country,Lat,Lng,Max Temp,% Humidity,% Cloudiness,Wind Speed,Weather Desciption
0,Hambantota,LK,6.1241,81.1185,78.49,84,70,1.5,broken clouds
1,Lingyuan,CN,41.24,119.4011,43.57,73,100,10.51,overcast clouds
2,Hasaki,JP,35.7333,140.8333,52.2,60,99,6.26,overcast clouds
3,Albany,US,42.6001,-73.9662,58.68,91,100,4.0,overcast clouds
4,Carnarvon,AU,-24.8667,113.6333,66.27,68,0,16.11,clear sky
5,Tilichiki,RU,60.4667,166.1,4.23,95,20,7.81,few clouds
6,Rikitea,PF,-23.1203,-134.9692,74.97,85,100,20.74,light rain
7,Clyde River,CA,70.4692,-68.5914,28.63,100,90,19.57,snow
8,Tuktoyaktuk,CA,69.4541,-133.0374,15.96,92,32,9.24,scattered clouds
9,Abu Dhabi,AE,24.4667,54.3667,84.22,61,0,5.75,clear sky
10,Dikson,RU,73.5069,80.5464,6.94,92,100,16.93,overcast clouds
11,Tasiilaq,GL,65.6145,-37.6368,24.96,63,91,6.33,overcast clouds
12,Yellowknife,CA,62.456,-114.3525,30.42,85,40,8.01,scattered clouds
13,Mahebourg,MU,-20.4081,57.7,71.89,88,40,3.44,scattered clouds
14,Lorengau,PG,-2.0226,147.2712,81.73,78,71,6.89,broken clouds
15,Punta Arenas,CL,-53.15,-70.9167,51.91,43,0,18.41,clear sky
16,Teo,ES,42.75,-8.5,62.58,90,75,8.05,broken clouds
17,Georgetown,MY,5.4112,100.3354,77.9,92,20,1.01,few clouds
18,Alta Floresta,BR,-9.8756,-56.0861,89.42,58,20,4.61,few clouds
19,Butaritari,KI,3.0707,172.7902,82.27,71,33,5.88,scattered clouds
20,Grand Gaube,MU,-20.0064,57.6608,72.0,84,8,7.49,clear sky
21,Adrar,MR,20.5022,-10.0711,84.56,13,100,9.48,overcast clouds
22,Castro,BR,-24.7911,-50.0119,70.02,78,51,7.99,broken clouds
23,Punto Fijo,VE,11.6956,-70.1996,82.51,73,100,17.45,overcast clouds
24,Atuona,PF,-9.8,-139.0333,77.76,67,6,19.1,clear sky
25,Barrow,US,71.2906,-156.7887,15.82,86,90,5.75,overcast clouds
26,Kapaa,US,22.0752,-159.319,80.58,90,1,3.44,clear sky
27,Thinadhoo,MV,0.5333,72.9333,83.48,75,29,15.7,scattered clouds
28,Mar Del Plata,AR,-38.0023,-57.5575,68.02,81,75,18.99,broken clouds
29,Pavlodar,KZ,52.3,76.95,37.2,87,90,13.42,overcast clouds
30,Tezze Sul Brenta,IT,45.6866,11.7036,58.14,73,100,2.55,overcast clouds
31,Vaini,TO,-21.2,-175.2,75.36,88,40,9.22,scattered clouds
32,Kodiak,US,57.79,-152.4072,47.71,87,90,27.63,light rain
33,Morondava,MG,-20.2833,44.2833,75.49,73,29,9.35,scattered clouds
34,Busselton,AU,-33.65,115.3333,43.05,90,75,6.29,broken clouds
35,Yangambi,CD,0.8102,24.4336,71.13,97,20,1.54,few clouds
36,Gat,IL,31.61,34.7642,72.81,62,48,4.18,scattered clouds
37,Ukiah,US,39.1502,-123.2078,67.51,79,1,11.5,clear sky
38,Khatanga,RU,71.9667,102.5,-5.06,100,45,3.22,scattered clouds
39,Nuuk,GL,64.1835,-51.7216,43.41,61,75,46.04,broken clouds
40,Hermanus,ZA,-34.4187,19.2345,61.9,83,68,9.1,broken clouds
41,Usinsk,RU,65.9939,57.5281,8.55,94,100,7.4,overcast clouds
42,Kingston,JM,17.997,-76.7936,86.95,71,20,8.01,few clouds
43,Thompson,CA,55.7435,-97.8558,37.56,75,75,8.05,broken clouds
44,Chuy,UY,-33.6971,-53.4616,71.29,74,90,14.5,overcast clouds
45,San Cristobal,VE,7.7669,-72.225,73.53,88,98,3.85,light rain
46,Destin,US,30.3935,-86.4958,67.01,60,75,5.75,broken clouds
47,Ushuaia,AR,-54.8,-68.3,51.46,46,0,18.41,clear sky
48,Lazaro Cardenas,MX,17.9583,-102.2,83.95,68,0,5.14,clear sky
49,Bud,US,39.447,-86.1758,55.89,93,100,11.43,overcast clouds
50,Mataura,NZ,-46.1927,168.8643,51.33,63,100,4.54,overcast clouds
51,Mersing,MY,2.4312,103.8405,75.11,94,75,5.75,broken clouds
52,Qaanaaq,GL,77.484,-69.3632,2.28,52,0,8.21,clear sky
53,Kavaratti,IN,10.5669,72.642,81.95,73,100,3.13,overcast clouds
54,Airai,TL,-8.9266,125.4092,62.01,91,36,1.16,scattered clouds
55,Hithadhoo,MV,-0.6,73.0833,82.98,74,100,18.21,overcast clouds
56,Seoul,KR,37.5683,126.9778,51.24,93,7,2.3,fog
57,Lomza,PL,53.1781,22.0593,52.84,66,5,13.27,clear sky
58,Arona,ES,28.0996,-16.681,66.7,67,20,11.5,few clouds
59,Fairbanks,US,64.8378,-147.7164,41.34,75,75,9.22,broken clouds
60,Inhambane,MZ,-23.865,35.3833,71.58,78,0,9.22,clear sky
61,Kaitangata,NZ,-46.2817,169.8464,50.94,80,100,3.0,overcast clouds
62,Poltavka,RU,54.3663,71.7632,32.67,98,100,15.08,snow
63,Guerrero Negro,MX,27.9769,-114.0611,75.36,51,0,9.33,clear sky
64,Severo-Kurilsk,RU,50.6789,156.125,39.69,82,49,10.87,scattered clouds
65,Hilo,US,19.7297,-155.09,80.33,70,1,3.44,clear sky
66,Codrington,AU,-38.2667,141.9667,40.93,94,3,7.92,clear sky
67,Batagay-Alyta,RU,67.8006,130.4114,-14.1,88,28,4.76,scattered clouds
68,Bluff,NZ,-46.6,168.3333,54.09,65,80,18.5,light rain
69,Rumonge,BI,-3.9736,29.4386,75.78,72,42,4.79,scattered clouds
70,Ibra,OM,22.6906,58.5334,77.09,29,1,4.99,clear sky
71,Cidreira,BR,-30.1811,-50.2056,70.27,81,45,22.79,scattered clouds
72,Kurdzhinovo,RU,43.9884,40.9552,40.14,65,0,5.23,clear sky
73,Jamestown,US,42.097,-79.2353,55.09,88,90,1.99,overcast clouds
74,Ust-Tsilma,RU,65.441,52.1498,22.26,97,100,4.5,overcast clouds
75,Biskamzha,RU,53.4497,89.5272,30.78,95,100,9.55,light snow
76,Longyearbyen,SJ,78.2186,15.6401,24.64,68,75,5.75,broken clouds
77,Sitka,US,57.0531,-135.33,48.09,61,75,11.5,broken clouds
78,Lata,PT,40.1629,-8.3327,63.91,97,100,3.49,overcast clouds
79,Mapastepec,MX,15.4333,-92.9,86.05,69,62,4.07,broken clouds
80,East London,ZA,-33.0153,27.9116,65.35,86,69,7.94,broken clouds
81,Rundu,NA,-17.9333,19.7667,81.63,37,73,4.07,broken clouds
82,Meulaboh,ID,4.1363,96.1285,75.6,90,100,4.14,overcast clouds
83,Sao Filipe,CV,14.8961,-24.4956,80.08,73,54,11.95,broken clouds
84,Yakima,US,46.4665,-120.6678,49.55,33,0,9.78,clear sky
85,Vostok,RU,46.4856,135.8833,33.15,80,100,2.42,overcast clouds
86,Axim,GH,4.8699,-2.2405,79.12,84,66,9.8,broken clouds
87,Fortuna,US,40.5982,-124.1573,61.93,75,90,1.99,light rain
88,Hobart,AU,-42.8794,147.3294,53.26,66,40,4.0,scattered clouds
89,Upernavik,GL,72.7868,-56.1549,26.24,57,100,8.37,overcast clouds
90,Tulca,RO,45.1667,28.8,46.44,87,75,5.75,broken clouds
91,Najran,SA,17.4924,44.1277,70.45,45,5,3.98,clear sky
92,Poronaysk,RU,49.2167,143.1167,37.71,90,100,14.0,overcast clouds
93,Bambous Virieux,MU,-20.3428,57.7575,71.85,88,40,3.44,scattered clouds
94,Pisco,PE,-13.7,-76.2167,67.01,82,0,10.36,clear sky
95,Turukhansk,RU,65.8167,87.9833,16.14,92,100,11.45,overcast clouds
96,Chokurdakh,RU,70.6333,147.9167,-1.59,98,100,5.5,overcast clouds
97,Palmas,BR,-10.2128,-48.3603,78.67,83,40,5.75,scattered clouds
98,Kovur,IN,14.4833,79.9833,79.7,83,100,4.59,overcast clouds
99,Atasu,KZ,48.6814,71.6433,37.9,64,100,13.44,overcast clouds
100,Lebu,CL,-37.6167,-73.65,55.56,68,100,16.67,overcast clouds
101,Zalesovo,RU,53.9939,84.7431,26.69,99,96,2.42,overcast clouds
102,Saint-Philippe,RE,-21.3585,55.7679,71.19,81,100,2.62,overcast clouds
103,Havoysund,NO,70.9963,24.6622,34.68,62,100,7.47,overcast clouds
104,Andenes,NO,69.3143,16.1194,40.98,93,100,6.91,light intensity drizzle
105,Yeppoon,AU,-23.1333,150.7333,73.18,85,38,2.28,scattered clouds
106,Nicoya,CR,10.1483,-85.452,76.55,81,99,2.28,overcast clouds
107,Zhangye,CN,38.9342,100.4517,41.22,35,0,5.88,clear sky
108,Kloulklubed,PW,7.0419,134.2556,77.5,78,100,16.78,overcast clouds
109,Whitehorse,CA,60.7161,-135.0538,34.57,69,75,15.99,broken clouds
110,Pangnirtung,CA,66.1451,-65.7125,35.6,87,90,11.5,light snow
111,Urazovo,RU,50.0836,38.0395,44.1,75,5,3.51,clear sky
112,Champerico,GT,14.3,-91.9167,90.28,74,100,3.65,overcast clouds
113,Alta,NO,69.9689,23.2717,24.06,86,100,3.44,overcast clouds
114,Cape Town,ZA,-33.9258,18.4232,64.09,74,0,1.01,clear sky
115,Touros,BR,-5.1989,-35.4608,85.1,68,40,17.98,scattered clouds
116,Cabo San Lucas,MX,22.8909,-109.9124,88.61,58,20,5.75,few clouds
117,Puerto Ayora,EC,-0.7393,-90.3518,76.96,80,83,9.31,broken clouds
118,Kununurra,AU,-15.7667,128.7333,80.58,74,84,4.61,broken clouds
119,Namibe,AO,-15.1961,12.1522,67.8,76,76,8.23,broken clouds
120,Isangel,VU,-19.55,169.2667,75.36,81,0,4.63,clear sky
121,Jizan,SA,17.3333,42.6667,86.94,55,5,3.42,clear sky
122,Colares,PT,38.7992,-9.4469,70.79,90,75,3.0,mist
123,Le Port,RE,-20.9373,55.2919,71.6,92,78,5.28,broken clouds
124,Semnan,IR,35.5729,53.3971,58.55,58,40,4.12,scattered clouds
125,Hofn,IS,64.2539,-15.2082,42.13,88,100,9.51,light rain
126,Ivanishchi,RU,55.7742,40.4273,46.35,94,100,7.74,overcast clouds
127,Urcos,PE,-13.6861,-71.6228,75.09,47,90,7.2,overcast clouds
128,Aklavik,CA,68.2191,-135.0107,17.6,93,75,6.91,broken clouds
129,Oyama,JP,36.3,139.8,57.58,65,96,3.8,overcast clouds
130,Mount Isa,AU,-20.7333,139.5,74.97,23,75,10.36,broken clouds
131,Deputatskiy,RU,69.3,139.9,-6.23,98,100,5.46,overcast clouds
132,Saskylakh,RU,71.9167,114.0833,8.29,93,100,10.67,overcast clouds
133,Charlestown,AU,-32.95,151.6667,59.74,91,100,1.01,overcast clouds
134,Martinsville,US,36.6915,-79.8725,61.72,76,90,4.61,overcast clouds
135,Dongsheng,CN,39.8161,109.9776,31.59,50,0,10.92,clear sky
136,Mishkino,RU,55.3389,63.9175,36.39,96,100,17.09,overcast clouds
137,Ribeira Grande,PT,38.5167,-28.7,70.2,83,75,18.41,broken clouds
138,San Patricio,US,28.017,-97.5169,85.01,17,0,3.06,clear sky
139,Pekan,MY,3.4836,103.3996,77.63,87,100,3.71,light rain
140,Blagoyevo,RU,63.3667,47.9167,29.7,97,100,3.13,overcast clouds
141,Ponta Do Sol,PT,32.6667,-17.1,74.03,76,36,7.56,scattered clouds
142,Charters Towers,AU,-20.1,146.2667,71.11,89,2,5.06,clear sky
143,Preobrazheniye,RU,42.9019,133.9064,50.34,87,100,5.82,overcast clouds
144,Ancud,CL,-41.8697,-73.8203,60.33,46,0,2.17,clear sky
145,Labuhan,ID,-6.8844,112.2051,80.35,80,97,2.55,overcast clouds
146,Pyay,MM,18.8167,95.2167,74.23,97,100,4.16,overcast clouds
147,Boyolangu,ID,-8.1181,111.8935,76.57,91,100,0.81,overcast clouds
148,Hurghada,EG,27.2574,33.8129,77.04,73,0,0.0,clear sky
149,Ust-Kut,RU,56.7938,105.7672,33.39,60,100,4.83,overcast clouds
150,Huntingdon,GB,52.3305,-0.1865,50.18,86,92,10.92,overcast clouds
151,Ahipara,NZ,-35.1667,173.1667,61.86,96,100,9.13,overcast clouds
152,Ilulissat,GL,69.2167,-51.1,32.02,74,75,2.3,broken clouds
153,Luderitz,NA,-26.6481,15.1594,60.1,90,7,5.57,clear sky
154,Port Hardy,CA,50.6996,-127.4199,42.98,81,40,0.0,scattered clouds
155,Faya,SA,18.3851,42.4509,62.71,38,1,9.1,clear sky
156,Narsaq,GL,60.9167,-46.05,30.42,71,77,3.96,broken clouds
157,Svarstad,NO,59.399,9.9698,52.83,58,100,7.16,moderate rain
158,Owando,CG,-0.4819,15.8999,77.23,77,97,0.13,overcast clouds
159,Fort Nelson,CA,58.8053,-122.7002,29.79,59,20,5.75,few clouds
160,Chimbote,PE,-9.0853,-78.5783,68.68,72,56,10.0,broken clouds
161,Eureka,US,40.8021,-124.1637,62.2,79,76,8.99,broken clouds
162,Sao Joao Da Barra,BR,-21.6403,-41.0511,73.49,87,100,12.64,overcast clouds
163,Yaan,NG,7.3833,8.5667,79.83,73,98,2.77,overcast clouds
164,Saint George,US,37.1041,-113.5841,81.07,36,1,0.0,clear sky
165,Kamaishi,JP,39.2667,141.8833,52.16,80,100,6.71,overcast clouds
166,Wahiawa,US,21.5028,-158.0236,78.8,67,1,0.0,clear sky
167,Falkenberg,SE,56.9055,12.4912,52.25,83,100,14.92,overcast clouds
168,Bredasdorp,ZA,-34.5322,20.0403,60.28,88,100,3.44,overcast clouds
169,Altay,CN,47.8667,88.1167,37.58,64,100,5.57,overcast clouds
170,Ormara,PK,25.2088,64.6357,80.35,63,0,8.1,clear sky
171,Nouadhibou,MR,20.931,-17.0347,69.78,78,1,14.97,clear sky
172,Areia Branca,BR,-4.9561,-37.1369,88.0,67,96,18.57,overcast clouds
173,Kimbe,PG,-5.5502,150.1429,75.76,91,18,3.71,few clouds
174,Provideniya,RU,64.3833,-173.3,12.29,84,82,10.8,broken clouds
175,Nalut,LY,30.3333,10.85,69.75,34,13,6.55,few clouds
176,Dunedin,NZ,-45.8742,170.5036,54.01,72,11,2.21,few clouds
177,Xudat,AZ,41.631,48.681,52.25,85,59,6.69,broken clouds
178,Samana,DO,19.2056,-69.3369,89.82,66,20,9.22,few clouds
179,Chapais,CA,49.7834,-74.8492,53.38,45,100,7.38,overcast clouds
180,Zhongshu,CN,24.5167,103.7667,56.64,99,100,2.1,overcast clouds
181,Pokhara,NP,28.2333,83.9833,60.94,84,72,2.98,broken clouds
182,Katsuura,JP,35.1333,140.3,57.31,62,100,2.57,overcast clouds
183,Dennery,LC,13.8996,-60.8879,86.13,62,40,11.5,scattered clouds
184,Hoa Binh,VN,20.8133,105.3383,67.89,96,100,1.45,overcast clouds
185,Cherskiy,RU,68.75,161.3,-1.23,98,100,5.44,overcast clouds
186,Amudalavalasa,IN,18.4167,83.9,75.43,86,28,4.05,scattered clouds
187,Leningradskiy,RU,69.3833,178.4167,-2.29,96,98,5.99,overcast clouds
188,Saint-Joseph,RE,-21.3667,55.6167,70.18,80,100,2.57,overcast clouds
189,Beyneu,KZ,45.3167,55.2,50.95,64,7,3.18,clear sky
190,Fuerte Olimpo,PY,-21.0415,-57.8738,90.27,44,95,7.94,overcast clouds
191,Zhigansk,RU,66.7697,123.3711,-2.72,97,100,15.14,overcast clouds
192,Gornopravdinsk,RU,60.05,69.9,23.18,97,100,2.59,light snow
193,Mareeba,AU,-17.0,145.4333,68.72,95,54,2.06,broken clouds
194,Acapulco,MX,16.8634,-99.8901,85.82,74,40,5.75,scattered clouds
195,Pedernales,DO,18.0384,-71.744,86.97,57,20,6.96,few clouds
196,Takaungu,KE,-3.6837,39.8566,77.59,82,14,8.86,few clouds
197,Hershey,US,40.2859,-76.6503,64.0,77,75,8.01,broken clouds
198,Saldanha,ZA,-33.0117,17.9442,62.65,86,96,14.99,overcast clouds
199,Shasta Lake,US,40.6804,-122.3708,65.53,92,100,0.67,overcast clouds
200,Richards Bay,ZA,-28.783,32.0377,64.74,80,100,10.11,overcast clouds
201,Ternate,ID,0.8,127.4,79.97,81,99,3.83,overcast clouds
202,Teguldet,RU,57.3064,88.1667,26.26,62,100,8.03,overcast clouds
203,Sibolga,ID,1.7427,98.7792,76.73,88,100,2.46,heavy intensity rain
204,Belmonte,BR,-15.8631,-38.8828,79.3,68,91,7.9,overcast clouds
205,Talnakh,RU,69.4865,88.3972,15.93,96,100,4.12,light snow
206,Batticaloa,LK,7.7102,81.6924,78.98,86,100,5.77,overcast clouds
207,Malkara,TR,40.89,26.9011,49.93,84,0,11.01,clear sky
208,Geraldton,AU,-28.7667,114.6,54.01,82,0,9.22,clear sky
209,Amarwara,IN,22.3,79.1667,61.05,54,100,4.05,overcast clouds
210,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,25.39,86,0,6.71,clear sky
211,Coolum Beach,AU,-26.5333,153.1,70.34,97,100,1.01,overcast clouds
212,New Norfolk,AU,-42.7826,147.0587,52.92,60,80,4.0,broken clouds
213,Ulaangom,MN,49.9811,92.0667,32.72,73,100,2.06,overcast clouds
214,Saint-Leu,RE,-21.15,55.2833,70.66,92,100,4.52,overcast clouds
215,Los Algarrobos,PA,8.5,-82.4333,82.81,74,40,13.8,scattered clouds
216,Esperance,AU,-33.8667,121.9,53.44,71,3,15.28,clear sky
217,Pundaguitan,PH,6.3711,126.1689,82.0,78,100,5.46,overcast clouds
218,Arraial Do Cabo,BR,-22.9661,-42.0278,73.26,83,75,12.66,light intensity drizzle
219,Agadez,NE,19.75,10.25,82.31,20,94,10.78,overcast clouds
220,Mocuba,MZ,-16.8392,36.9856,71.01,64,0,5.19,clear sky
221,Rio Cuarto,AR,-33.1307,-64.3499,91.17,29,40,14.97,thunderstorm
222,Bethel,US,41.3712,-73.414,63.64,91,90,1.01,overcast clouds
223,Asau,RO,46.4333,26.4,44.76,92,0,1.16,clear sky
224,Lubango,AO,-14.9172,13.4925,66.74,60,94,2.04,overcast clouds
225,Prince George,CA,53.9166,-122.753,35.04,72,1,8.05,clear sky
226,Daitari,IN,21.1,85.75,69.87,86,72,0.76,light rain
227,Klaksvik,FO,62.2266,-6.589,47.32,93,100,6.13,overcast clouds
