City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,New Norfolk,AU,2021-10-30 00:00:34,-42.7826,147.0587,52.92,49,70,4.0
1,Georgetown,MY,2021-10-29 23:58:34,5.4112,100.3354,80.53,88,20,3.0
2,Kodiak,US,2021-10-29 23:59:05,57.79,-152.4072,44.11,87,90,18.41
3,Qaanaaq,GL,2021-10-29 23:57:55,77.484,-69.3632,13.41,70,100,7.76
4,Busselton,AU,2021-10-30 00:00:34,-33.65,115.3333,57.04,63,5,7.45
5,Vaitape,PF,2021-10-30 00:00:35,-16.5167,-151.75,78.89,72,88,15.97
6,Taltal,CL,2021-10-29 23:58:32,-25.4,-70.4833,63.63,71,22,4.72
7,Flin Flon,CA,2021-10-30 00:00:35,54.7682,-101.865,38.66,58,83,3.6
8,Barrow,US,2021-10-30 00:00:36,71.2906,-156.7887,1.42,71,1,12.66
9,Kenora,CA,2021-10-30 00:00:36,49.8167,-94.4337,46.38,93,24,5.99
10,Plaisance-Du-Touch,FR,2021-10-30 00:00:36,43.5657,1.2975,64.58,75,0,8.01
11,Flinders,AU,2021-10-30 00:00:37,-34.5833,150.8552,64.2,48,95,7.0
12,Tripoli,LY,2021-10-29 23:59:10,32.8752,13.1875,70.03,64,18,8.61
13,Bredasdorp,ZA,2021-10-30 00:00:38,-34.5322,20.0403,59.29,82,39,6.24
14,Kendari,ID,2021-10-30 00:00:38,-3.945,122.4989,80.1,86,77,1.19
15,Port Alfred,ZA,2021-10-30 00:00:38,-33.5906,26.891,61.0,79,72,13.09
16,Saint-Philippe,RE,2021-10-29 23:58:58,-21.3585,55.7679,69.48,82,42,6.6
17,Pisco,PE,2021-10-29 23:57:16,-13.7,-76.2167,64.45,77,0,17.27
18,Kapaa,US,2021-10-30 00:00:39,22.0752,-159.319,83.19,76,8,5.99
19,Chokurdakh,RU,2021-10-30 00:00:39,70.6333,147.9167,-15.23,99,100,2.44
20,Avarua,CK,2021-10-29 23:57:12,-21.2078,-159.775,78.85,65,75,12.66
21,Sao Filipe,CV,2021-10-29 23:58:28,14.8961,-24.4956,78.93,75,90,8.19
22,Hobart,AU,2021-10-29 23:55:50,-42.8794,147.3294,53.26,62,75,3.0
23,Arraial Do Cabo,BR,2021-10-29 23:56:45,-22.9661,-42.0278,69.46,89,100,21.21
24,Vaini,TO,2021-10-29 23:58:39,-21.2,-175.2,69.96,100,90,9.22
25,Cooma,AU,2021-10-30 00:00:41,-36.2333,149.1333,51.55,33,10,5.17
26,Aliwal North,ZA,2021-10-30 00:00:41,-30.6937,26.7114,53.01,71,3,3.24
27,Murgab,TM,2021-10-30 00:00:42,37.4966,61.9714,47.52,54,1,8.9
28,Sambava,MG,2021-10-30 00:00:42,-14.2667,50.1667,72.73,91,100,8.3
29,Atuona,PF,2021-10-30 00:00:42,-9.8,-139.0333,77.95,69,18,11.83
30,Longyearbyen,SJ,2021-10-29 23:59:47,78.2186,15.6401,26.44,68,20,12.66
31,Sonthofen,DE,2021-10-30 00:00:43,47.5167,10.2833,42.33,61,100,5.3
32,Bluff,NZ,2021-10-30 00:00:44,-46.6,168.3333,61.65,65,71,6.44
33,Port Elizabeth,ZA,2021-10-30 00:00:44,-33.918,25.5701,61.11,78,23,9.46
34,Kismayo,SO,2021-10-30 00:00:44,-0.3582,42.5454,77.99,79,61,8.37
35,San Patricio,US,2021-10-29 23:57:07,28.017,-97.5169,77.09,25,0,8.88
36,Albany,US,2021-10-30 00:00:20,42.6001,-73.9662,50.61,72,23,3.0
37,Gibara,CU,2021-10-30 00:00:45,21.1097,-76.1317,80.55,73,100,3.09
38,Kargasok,RU,2021-10-30 00:00:45,59.0556,80.8572,22.96,78,92,16.69
39,Hukuntsi,BW,2021-10-30 00:00:46,-24.0,21.75,71.4,45,46,13.24
40,Rikitea,PF,2021-10-29 23:56:44,-23.1203,-134.9692,75.99,78,95,17.05
41,Sola,VU,2021-10-30 00:00:46,-13.8833,167.55,82.29,71,97,15.46
42,Ushuaia,AR,2021-10-29 23:56:33,-54.8,-68.3,46.02,49,75,24.16
43,Huarmey,PE,2021-10-30 00:00:15,-10.0681,-78.1522,64.89,82,43,9.24
44,Nantucket,US,2021-10-30 00:00:47,41.2835,-70.0995,52.02,73,79,20.96
45,Mataura,NZ,2021-10-29 23:56:29,-46.1927,168.8643,71.58,46,53,4.32
46,Padang,ID,2021-10-30 00:01:47,-0.9492,100.3543,78.69,85,85,3.02
47,Legnica,PL,2021-10-30 00:01:48,51.2101,16.1619,55.35,51,8,9.15
48,Vostok,RU,2021-10-30 00:01:48,46.4856,135.8833,42.96,45,0,0.98
49,Parry Sound,CA,2021-10-30 00:01:49,45.3501,-80.033,49.87,73,93,6.8
50,Cape Town,ZA,2021-10-30 00:01:49,-33.9258,18.4232,62.1,83,3,1.01
51,Jamestown,US,2021-10-29 23:59:46,42.097,-79.2353,47.95,98,100,5.99
52,Salisbury,GB,2021-10-30 00:01:50,51.0693,-1.7957,56.73,88,45,13.06
53,Cabo San Lucas,MX,2021-10-30 00:00:01,22.8909,-109.9124,84.51,64,2,1.99
54,Atascocita,US,2021-10-29 23:57:12,29.9988,-95.1766,70.23,33,0,4.0
55,Thompson,CA,2021-10-29 23:57:21,55.7435,-97.8558,42.96,70,75,4.61
56,Tura,IN,2021-10-30 00:01:51,25.5198,90.2201,64.17,80,30,4.07
57,Kansanshi,ZM,2021-10-30 00:01:51,-12.0951,26.4273,63.34,49,29,1.83
58,Fuerte,PH,2021-10-30 00:01:52,17.5381,120.3644,79.14,71,43,4.45
59,Yellowknife,CA,2021-10-30 00:00:30,62.456,-114.3525,33.42,97,98,3.0
60,Westport,US,2021-10-30 00:00:47,41.1415,-73.3579,56.8,73,90,1.99
61,Port Lincoln,AU,2021-10-30 00:00:31,-34.7333,135.8667,58.05,49,66,6.24
62,Xining,CN,2021-10-30 00:00:12,36.6167,101.7667,34.99,59,4,2.37
63,Provideniya,RU,2021-10-29 23:59:46,64.3833,-173.3,14.31,70,80,2.37
64,Luderitz,NA,2021-10-30 00:00:38,-26.6481,15.1594,59.49,79,0,8.19
65,Hilo,US,2021-10-30 00:01:53,19.7297,-155.09,79.79,81,40,4.0
66,Petropavlovsk-Kamchatskiy,RU,2021-10-30 00:01:07,53.0452,158.6483,32.59,86,0,6.71
67,Touros,BR,2021-10-30 00:01:54,-5.1989,-35.4608,79.29,76,15,13.87
68,Salon,IN,2021-10-30 00:01:54,26.0333,81.45,65.25,57,5,4.85
69,Esperance,AU,2021-10-30 00:01:54,-33.8667,121.9,56.19,64,18,8.03
70,Graham,US,2021-10-30 00:01:55,47.0529,-122.2943,52.32,84,20,0.0
71,Fortuna,US,2021-10-29 23:59:29,40.5982,-124.1573,66.18,70,90,1.01
72,Khatanga,RU,2021-10-29 23:57:25,71.9667,102.5,5.85,84,100,8.05
73,Mar Del Plata,AR,2021-10-29 23:58:43,-38.0023,-57.5575,65.08,96,55,5.01
74,Bambous Virieux,MU,2021-10-30 00:01:56,-20.3428,57.7575,72.21,80,49,5.08
75,Ribeira Grande,PT,2021-10-30 00:01:56,38.5167,-28.7,70.21,92,100,25.59
76,Arman,RU,2021-10-30 00:01:56,59.7,150.1667,24.66,58,22,5.66
77,Mandera,KE,2021-10-30 00:01:57,3.9366,41.867,83.41,48,41,9.69
78,Tommot,RU,2021-10-30 00:01:57,58.9564,126.2925,19.74,85,100,8.03
79,Haines Junction,CA,2021-10-30 00:01:58,60.7522,-137.5108,32.85,78,95,6.15
80,Usinsk,RU,2021-10-29 23:59:54,65.9939,57.5281,8.55,94,75,7.25
81,Cherskiy,RU,2021-10-29 23:58:24,68.75,161.3,-12.68,96,99,2.3
82,Cidreira,BR,2021-10-29 23:57:11,-30.1811,-50.2056,68.36,86,73,21.0
83,Nikolskoye,RU,2021-10-30 00:01:59,59.7035,30.7861,49.01,91,73,7.38
84,Rio Gallegos,AR,2021-10-30 00:01:59,-51.6226,-69.2181,47.07,41,66,23.26
85,Marsh Harbour,BS,2021-10-30 00:01:59,26.5412,-77.0636,78.66,84,98,12.37
86,New Ulm,US,2021-10-30 00:02:00,44.3125,-94.4605,50.29,70,1,6.91
87,Fort Stewart,US,2021-10-30 00:03:00,31.8722,-81.61,62.62,70,90,8.05
88,Egvekinot,RU,2021-10-30 00:03:01,66.3167,-179.1667,2.03,92,96,1.39
89,Punta Arenas,CL,2021-10-29 23:58:26,-53.15,-70.9167,48.31,49,40,18.41
90,Jiuquan,CN,2021-10-30 00:03:02,39.7432,98.5174,37.54,41,7,5.46
91,Tasiilaq,GL,2021-10-30 00:03:03,65.6145,-37.6368,26.76,73,72,7.67
92,Lagoa,PT,2021-10-30 00:03:03,39.05,-27.9833,68.38,93,100,18.97
93,Maningrida,AU,2021-10-30 00:03:04,-12.0667,134.2667,89.15,52,100,3.31
94,Nyurba,RU,2021-10-30 00:03:04,63.2842,118.3319,5.74,97,17,3.02
95,Pirapora,BR,2021-10-30 00:03:05,-17.345,-44.9419,77.56,37,32,3.49
96,Vila Franca Do Campo,PT,2021-10-30 00:03:05,37.7167,-25.4333,73.2,92,77,15.99
97,Huangpi,CN,2021-10-30 00:03:05,30.8845,114.3779,68.11,63,1,1.59
98,Ixtapa,MX,2021-10-30 00:03:06,20.7,-105.2,83.43,74,90,5.75
99,Upernavik,GL,2021-10-29 23:59:43,72.7868,-56.1549,19.92,63,2,7.09
100,Pevek,RU,2021-10-29 23:58:47,69.7008,170.3133,-0.35,92,98,2.98
101,Valdivia,CL,2021-10-30 00:02:46,-39.8142,-73.2459,52.57,93,66,2.3
102,Butaritari,KI,2021-10-29 23:59:47,3.0707,172.7902,83.39,68,3,15.43
103,Walvis Bay,NA,2021-10-30 00:03:07,-22.9575,14.5053,58.08,78,0,8.9
104,Tateyama,JP,2021-10-30 00:03:07,34.9833,139.8667,65.01,58,24,3.62
105,Kavieng,PG,2021-10-30 00:03:07,-2.5744,150.7967,84.72,70,95,10.04
106,Inhambane,MZ,2021-10-30 00:01:21,-23.865,35.3833,68.07,73,37,7.83
107,Severo-Kurilsk,RU,2021-10-30 00:03:08,50.6789,156.125,42.15,87,100,9.93
108,Hermanus,ZA,2021-10-30 00:03:09,-34.4187,19.2345,59.9,83,27,2.75
109,Mount Gambier,AU,2021-10-30 00:00:16,-37.8333,140.7667,56.44,50,59,9.57
110,Tiksi,RU,2021-10-30 00:03:09,71.6872,128.8694,4.15,94,99,7.09
111,Lebedinyy,RU,2021-10-30 00:03:09,58.5167,125.5167,12.34,94,100,11.27
112,Dalkola,IN,2021-10-30 00:03:10,25.85,87.85,66.04,65,8,6.44
113,Fukue,JP,2021-10-30 00:03:10,32.6881,128.8419,66.74,59,100,6.38
114,Andrychow,PL,2021-10-30 00:00:49,49.855,19.3383,47.66,53,43,4.65
115,Faya,SA,2021-10-29 23:59:09,18.3851,42.4509,57.31,33,55,6.08
116,Kirakira,SB,2021-10-30 00:03:11,-10.4544,161.9205,86.56,69,83,13.4
117,Coffs Harbour,AU,2021-10-30 00:03:11,-30.3,153.1333,77.13,57,90,16.11
118,Kavaratti,IN,2021-10-30 00:03:12,10.5669,72.642,81.72,72,100,4.41
119,Calama,CL,2021-10-30 00:03:12,-22.4667,-68.9333,58.71,28,0,6.2
120,Port Blair,IN,2021-10-30 00:03:12,11.6667,92.75,80.78,84,70,7.45
121,Jieshi,CN,2021-10-30 00:03:13,22.8134,115.8257,73.94,78,87,12.64
122,Puerto Ayora,EC,2021-10-29 23:59:21,-0.7393,-90.3518,69.82,90,83,9.86
123,Castro,BR,2021-10-29 23:59:04,-24.7911,-50.0119,61.38,93,44,11.14
124,Huilong,CN,2021-10-30 00:03:14,31.8111,121.655,67.03,69,78,8.21
125,Shieli,KZ,2021-10-30 00:03:14,44.1667,66.75,39.43,75,0,3.89
126,Ranir Bazar,IN,2021-10-30 00:03:14,23.8333,91.3667,70.14,88,73,1.7
127,Moree,AU,2021-10-30 00:03:15,-29.4667,149.85,78.42,40,20,6.53
128,San Vicente,AR,2021-10-30 00:03:15,-26.6167,-54.1333,61.97,86,56,2.82
129,Clyde River,CA,2021-10-30 00:03:16,70.4692,-68.5914,26.37,90,100,4.9
130,Bluefields,NI,2021-10-30 00:03:16,12.0137,-83.7635,78.66,87,68,3.04
131,Reconquista,AR,2021-10-30 00:03:17,-29.15,-59.65,79.68,35,67,6.49
132,Tongren,CN,2021-10-30 00:04:17,27.7172,109.1853,55.87,90,2,0.98
133,Inongo,CD,2021-10-30 00:04:17,-1.95,18.2667,69.57,96,93,2.44
134,Cockburn Town,TC,2021-10-30 00:00:43,21.4612,-71.1419,82.4,71,45,9.84
135,Sitka,US,2021-10-30 00:04:18,57.0531,-135.33,42.69,75,90,12.66
136,Ballina,AU,2021-10-30 00:04:18,-28.8667,153.5667,82.78,66,33,12.91
137,Juneau,US,2021-10-30 00:00:07,58.3019,-134.4197,44.22,97,100,6.22
138,Faanui,PF,2021-10-30 00:04:19,-16.4833,-151.75,78.94,71,89,16.02
139,Alofi,NU,2021-10-30 00:04:19,-19.0595,-169.9187,76.57,59,96,16.53
140,Carnarvon,AU,2021-10-30 00:04:20,-24.8667,113.6333,73.47,28,0,17.27
141,Komsomolskiy,UZ,2021-10-30 00:04:20,40.4272,71.7189,42.22,81,1,4.61
142,Bani Walid,LY,2021-10-30 00:04:20,31.7566,13.9942,66.81,53,19,8.25
143,Mahebourg,MU,2021-10-30 00:04:21,-20.4081,57.7,72.25,80,63,4.45
144,Tahta,EG,2021-10-30 00:04:21,26.7693,31.5021,75.34,36,93,4.7
145,Quelimane,MZ,2021-10-30 00:04:21,-17.8786,36.8883,66.67,74,22,1.21
146,Uthal,PK,2021-10-30 00:04:22,25.8072,66.6219,76.48,41,1,2.26
147,Ponta Do Sol,PT,2021-10-30 00:02:26,32.6667,-17.1,70.72,70,79,8.93
148,Dunedin,NZ,2021-10-30 00:04:22,-45.8742,170.5036,59.81,90,67,11.01
149,East London,ZA,2021-10-30 00:04:23,-33.0153,27.9116,65.1,63,72,14.65
150,Meulaboh,ID,2021-10-30 00:04:23,4.1363,96.1285,75.25,89,100,4.72
151,Urucara,BR,2021-10-30 00:04:23,-2.5364,-57.76,79.47,72,73,2.77
152,Port Macquarie,AU,2021-10-30 00:00:54,-31.4333,152.9167,75.88,64,42,9.22
153,Lorengau,PG,2021-10-30 00:04:24,-2.0226,147.2712,83.55,75,62,5.19
154,Coquimbo,CL,2021-10-30 00:04:24,-29.9533,-71.3436,56.93,82,0,3.44
155,Denpasar,ID,2021-10-30 00:03:34,-8.65,115.2167,74.86,94,75,3.44
156,Bergen,NO,2021-10-30 00:04:25,60.392,5.328,56.16,86,75,19.57
157,Tuktoyaktuk,CA,2021-10-30 00:01:03,69.4541,-133.0374,23.45,95,100,1.05
158,Berlevag,NO,2021-10-30 00:04:25,70.8578,29.0864,39.97,76,47,27.89
159,Kaitangata,NZ,2021-10-30 00:04:26,-46.2817,169.8464,66.92,57,58,13.49
160,Comodoro Rivadavia,AR,2021-10-30 00:00:01,-45.8667,-67.5,60.66,55,0,20.71
161,Vestmannaeyjar,IS,2021-10-30 00:04:26,63.4427,-20.2734,46.33,82,91,18.45
162,Ayan,RU,2021-10-30 00:04:27,56.45,138.1667,30.49,49,100,12.37
163,Kahului,US,2021-10-30 00:04:27,20.8947,-156.47,84.22,67,40,16.11
164,Lakewood,US,2021-10-29 23:59:59,39.7047,-105.0814,71.73,25,0,1.01
165,Sakata,JP,2021-10-30 00:04:28,38.9167,139.855,58.37,67,90,5.32
166,Ponta Delgada,PT,2021-10-30 00:02:21,37.7333,-25.6667,73.51,94,75,13.8
167,Mbale,UG,2021-10-30 00:04:28,1.0821,34.175,66.67,82,93,1.57
168,Pahrump,US,2021-10-30 00:00:23,36.2083,-115.9839,82.44,21,0,1.01
169,Markova,UA,2021-10-30 00:04:29,48.6758,24.4138,46.24,71,10,2.95
170,Victoria,HK,2021-10-30 00:04:29,22.2855,114.1577,77.38,86,86,5.01
171,Lata,PT,2021-10-30 00:01:02,40.1629,-8.3327,67.93,97,100,14.25
172,Bafoulabe,ML,2021-10-30 00:04:30,13.8065,-10.8321,84.0,44,72,2.73
173,Kruisfontein,ZA,2021-10-30 00:04:30,-34.0033,24.7314,58.89,78,46,17.72
174,Kaohsiung,TW,2021-10-30 00:00:25,22.6163,120.3133,82.04,73,20,4.61
175,Yerbogachen,RU,2021-10-30 00:04:31,61.2767,108.0108,23.7,78,100,9.73
176,Alta Floresta,BR,2021-10-30 00:00:46,-9.8756,-56.0861,74.71,82,82,4.27
177,Ilulissat,GL,2021-10-30 00:03:47,69.2167,-51.1,26.62,80,90,3.44
178,Kalachinsk,RU,2021-10-30 00:05:31,55.0529,74.5751,24.94,67,22,10.89
179,Klaksvik,FO,2021-10-30 00:05:32,62.2266,-6.589,43.72,86,100,6.02
180,Beipiao,CN,2021-10-30 00:05:32,41.7919,120.7792,49.12,68,82,2.53
181,Monrovia,LR,2021-10-30 00:05:33,6.3005,-10.7969,74.97,87,100,8.08
182,Zeya,RU,2021-10-30 00:05:33,53.75,127.2667,26.73,37,29,8.08
183,Dikson,RU,2021-10-30 00:05:33,73.5069,80.5464,4.91,88,100,16.13
184,Korla,CN,2021-10-30 00:04:51,41.7597,86.1469,49.33,38,100,5.7
185,Saldanha,ZA,2021-10-30 00:05:34,-33.0117,17.9442,60.37,92,0,8.52
186,Port Hedland,AU,2021-10-30 00:05:34,-20.3167,118.5667,78.85,61,76,5.75
187,Nanortalik,GL,2021-10-30 00:05:35,60.1432,-45.2371,35.13,81,95,7.63
188,Saint George,US,2021-10-30 00:01:01,37.1041,-113.5841,76.95,31,1,4.0
189,Vaxjo,SE,2021-10-30 00:05:35,56.8777,14.8091,46.45,100,90,6.91
190,Carinhanha,BR,2021-10-30 00:05:36,-14.3047,-43.765,79.36,36,58,4.65
191,Torbay,CA,2021-10-30 00:04:36,47.6666,-52.7314,41.58,93,100,4.0
192,Eyemouth,GB,2021-10-30 00:05:36,55.8713,-2.0901,47.23,88,84,11.99
193,Ligayan,PH,2021-10-30 00:05:37,4.6533,119.4706,83.48,73,100,4.52
194,Aklavik,CA,2021-10-30 00:05:37,68.2191,-135.0107,16.79,97,98,1.97
195,Hithadhoo,MV,2021-10-30 00:05:38,-0.6,73.0833,83.3,74,96,13.65
196,Najran,SA,2021-10-30 00:05:38,17.4924,44.1277,60.42,34,0,1.57
197,Bubaque,GW,2021-10-30 00:05:38,11.2833,-15.8333,83.35,71,100,7.25
198,Hosdurga,IN,2021-10-30 00:05:39,13.7981,76.2861,69.06,97,100,6.13
199,Airai,TL,2021-10-30 00:05:39,-8.9266,125.4092,71.13,62,81,2.08
200,Tutoia,BR,2021-10-30 00:05:40,-2.7619,-42.2744,80.13,79,89,8.34
201,Omboue,GA,2021-10-30 00:05:40,-1.5746,9.2618,77.14,92,95,5.66
202,Grindavik,IS,2021-10-30 00:05:40,63.8424,-22.4338,45.07,76,0,13.8
203,Norman Wells,CA,2021-10-30 00:03:41,65.282,-126.8329,23.92,97,100,3.83
204,Hasaki,JP,2021-10-30 00:05:41,35.7333,140.8333,59.29,49,0,1.61
205,Burnie,AU,2021-10-30 00:05:41,-41.0667,145.9167,59.92,62,47,14.25
206,Epe,NG,2021-10-30 00:05:42,6.5841,3.9834,77.4,92,97,4.54
207,Palu,ID,2021-10-30 00:00:54,-0.8917,119.8707,77.94,93,100,1.3
208,Asfi,MA,2021-10-30 00:05:42,32.2994,-9.2372,64.08,82,57,1.97
209,Aswan,EG,2021-10-30 00:05:43,24.0934,32.907,79.05,23,20,11.63
210,Chuy,UY,2021-10-30 00:05:43,-33.6971,-53.4616,64.49,91,1,11.9
211,Narsaq,GL,2021-10-30 00:02:18,60.9167,-46.05,28.62,78,92,4.16
212,Erenhot,CN,2021-10-30 00:05:44,43.6475,111.9767,35.37,59,39,16.67
213,Ust-Charyshskaya Pristan,RU,2021-10-30 00:05:44,52.3934,83.6635,40.84,55,95,14.34
214,Tilichiki,RU,2021-10-30 00:05:44,60.4667,166.1,27.88,96,100,8.57
215,Leningradskiy,RU,2021-10-30 00:05:45,69.3833,178.4167,-9.62,93,21,4.43
216,Constitucion,CL,2021-10-30 00:04:58,-35.3333,-72.4167,58.08,72,90,15.43
217,Magadan,RU,2021-10-30 00:05:45,59.5667,150.8,26.51,72,41,4.05
218,Villa Carlos Paz,AR,2021-10-30 00:05:00,-31.4241,-64.4978,80.89,43,96,4.0
219,College,US,2021-10-30 00:05:46,64.8569,-147.8028,19.42,91,90,5.75
220,Margate,GB,2021-10-30 00:05:46,51.3813,1.3862,56.91,82,96,4.0
221,Crvenka,RS,2021-10-30 00:05:47,45.6586,19.4556,35.58,56,0,12.57
222,Rio Grande,BR,2021-10-30 00:01:06,-32.035,-52.0986,68.95,85,3,20.31
223,Abong Mbang,CM,2021-10-30 00:05:47,3.9833,13.1833,66.65,98,93,2.33
224,Henties Bay,NA,2021-10-30 00:02:06,-22.116,14.2845,57.85,85,0,3.02
225,Yar-Sale,RU,2021-10-30 00:02:11,66.8333,70.8333,13.17,90,100,22.66
226,Palencia,ES,2021-10-30 00:03:01,42.4167,-4.5,53.92,95,100,13.98
227,San Cristobal,VE,2021-10-30 00:06:48,7.7669,-72.225,75.38,99,99,2.21
228,Canutama,BR,2021-10-30 00:06:49,-6.5339,-64.3831,79.68,69,71,1.19
229,Savinskiy,RU,2021-10-30 00:06:49,62.9342,40.1361,45.41,94,100,9.44
230,Buchanan,LR,2021-10-30 00:06:49,5.8808,-10.0467,75.16,90,98,5.97
231,Ankang,CN,2021-10-30 00:06:50,32.68,109.0172,55.35,87,4,0.98
232,Talnakh,RU,2021-10-30 00:06:20,69.4865,88.3972,17.44,95,100,8.63
233,Eureka,US,2021-10-30 00:02:41,40.8021,-124.1637,65.75,84,100,1.01
234,Sisimiut,GL,2021-10-30 00:06:51,66.9395,-53.6735,31.57,93,100,6.96
235,Mount Isa,AU,2021-10-30 00:06:51,-20.7333,139.5,69.57,56,90,6.91
236,Lebu,CL,2021-10-30 00:02:28,-37.6167,-73.65,54.66,81,100,18.99
237,Oakham,GB,2021-10-30 00:06:52,52.6667,-0.7333,49.71,90,54,13.33
238,Santa Isabel Do Rio Negro,BR,2021-10-30 00:06:52,-0.4139,-65.0192,76.21,87,84,2.84
239,Jilin,CN,2021-10-30 00:06:53,43.0,126.0,46.06,65,98,4.27
240,Palora,EC,2021-10-30 00:06:53,-1.7,-77.9333,66.7,96,95,1.39
241,Okato,NZ,2021-10-30 00:06:54,-39.2,173.8833,65.43,68,23,9.89
242,Olinda,BR,2021-10-30 00:06:54,-8.0089,-34.8553,78.08,68,74,12.44
243,Kenai,US,2021-10-30 00:05:28,60.5544,-151.2583,33.15,94,90,17.27
244,Dingle,PH,2021-10-30 00:06:55,10.9995,122.6711,75.13,95,90,8.86
245,Verkhniy Rohachyk,UA,2021-10-30 00:06:55,47.2505,34.338,44.47,77,3,7.34
246,Katsuura,JP,2021-10-30 00:05:59,35.1333,140.3,65.1,59,11,3.87
247,Insar,RU,2021-10-30 00:06:56,53.8653,44.3738,43.61,75,99,14.12
248,Streator,US,2021-10-30 00:06:56,41.1209,-88.8354,53.73,97,100,5.99
249,Crowley,US,2021-10-30 00:05:18,30.2141,-92.3746,60.96,76,84,7.14
250,Mabaruma,GY,2021-10-30 00:06:57,8.2,-59.7833,73.36,99,83,3.04
251,Katherine,AU,2021-10-30 00:06:57,-14.4667,132.2667,86.32,58,92,8.05
252,Port Hardy,CA,2021-10-30 00:06:58,50.6996,-127.4199,47.19,65,6,14.45
253,Kuryk,KZ,2021-10-30 00:06:58,43.2,51.65,50.99,72,100,5.73
254,Shepsi,RU,2021-10-30 00:06:59,44.0361,39.1489,53.26,66,0,6.6
255,Semey,KZ,2021-10-30 00:06:59,50.4111,80.2275,32.22,86,0,8.95
256,Kabompo,ZM,2021-10-30 00:07:00,-13.5927,24.2008,72.36,59,98,4.16
257,Bengkulu,ID,2021-10-30 00:07:00,-3.8004,102.2655,76.82,88,81,2.84
258,Saskylakh,RU,2021-10-30 00:07:01,71.9167,114.0833,-9.17,97,99,8.99
259,Teknaf,BD,2021-10-30 00:07:01,20.8624,92.3058,76.55,88,17,7.09
260,Weymouth,US,2021-10-30 00:06:04,42.2209,-70.9398,51.4,81,90,4.0
261,Ashland,US,2021-10-30 00:07:02,40.8167,-82.2665,53.74,95,100,11.52
262,Maputo,MZ,2021-10-30 00:07:03,-25.9653,32.5892,70.23,71,44,3.0
263,Eslov,SE,2021-10-30 00:07:03,55.8393,13.3039,51.03,92,47,8.14
264,Hamilton,US,2021-10-30 00:03:57,39.1834,-84.5333,58.05,97,90,1.01
265,Deputatskiy,RU,2021-10-30 00:04:24,69.3,139.9,7.45,91,100,8.25
266,Rincon,US,2021-10-30 00:02:33,32.296,-81.2354,64.85,71,75,8.05
267,Carutapera,BR,2021-10-30 00:07:04,-1.195,-46.02,75.54,91,87,5.5
268,Karpushikha,RU,2021-10-30 00:07:04,57.5017,59.8956,24.55,63,100,9.95
269,Springfield,US,2021-10-30 00:04:39,37.2153,-93.2982,48.88,95,90,5.01
270,Anahuac,MX,2021-10-30 00:07:05,27.2333,-100.15,80.1,21,0,7.31
271,Mehamn,NO,2021-10-30 00:07:05,71.0357,27.8492,39.88,77,85,29.1
272,Hit,IQ,2021-10-30 00:07:05,33.6416,42.8251,70.81,34,28,5.06
273,Gigmoto,PH,2021-10-30 00:06:13,13.7796,124.39,83.57,69,8,12.71
274,Isangel,VU,2021-10-30 00:07:06,-19.55,169.2667,81.9,69,7,5.01
275,Los Llanos De Aridane,ES,2021-10-30 00:07:09,28.6585,-17.9182,64.15,80,0,7.0
276,Muros,ES,2021-10-30 00:08:06,42.7762,-9.0603,62.24,96,99,4.23
277,Mitsamiouli,KM,2021-10-30 00:08:07,-11.3847,43.2844,77.7,69,47,3.18
